Navn;Møde;Broder Bay;Broder Borum;Broder Goul;Broder Gyldenløve;Broder Holmberg;Broder Kirk;Broder Kruse;Broder Løvstad;Broder Olsen;Broder Ringtved;Broder Søgaard;Broder Veje;Broder Nielsen;Broder Bach;Godt og vel;Præcis;Bedste øl;std. Afv.;Stiv?;Bryggeri;Vol;Type
Scottish Oat Stout;F2020;3.5;3.5;;4;5;;2.5;4.5;4;4;3;3;2.5;;3.5;3.590909091;;0.714142843;Nej;Belhaven Brewery;7.00%;Dark Ale
Thy Humle;F2020;4;2;;6;4.5;;3;4;5;5;5.5;3.5;5;;4.5;4.318181818;;1.145643924;Ja;Thy Bryghus;5.80%;Pilsner
La Trappe Quadrupel;F2020;4;3;;2.5;4;;3.5;5;5;3.5;5.5;6;5.5;;4.0;4.318181818;;1.077032961;Nej;Koningshoeven;10%;Trappist Quadrupel
Delirium Argentum;F2020;4;5.5;;3;4.5;;5;4.5;5.5;4.5;3;4;5;;4.5;4.409090909;;0.838152731;Ja;Huyghe;7%;IPA
Mekanikeren;E2020;3;3;3;2;2;;2.5;3.5;3;;2;2;2;3;2.5;2.583333333;;0.538516481;Nej;Syndikatet;4.00%;Golden Ale
Nordfeld Guld;E2020;4;4;3;4.5;5;;3.5;4;4;;4.5;4;5;5;4.0;4.208333333;;0.522015325;Ja;Bryghuset Møn;5.70%;Guldøl
Strandløven;E2020;3.5;3;3.5;3.5;4;;3;2.5;4.5;;2;3;4;3;3.5;3.291666667;;0.680073525;Ja;Syndikatet;5%;Wit
Sommerspirets Lakrids Stout;E2020;2;0.5;4.5;2;4;;2;5;2;;5;5;4.5;4.5;3.5;3.416666667;;1.584297952;Nej;Bryghuset Møn;5.10%;Stout
Chrills Pils;E2020;3.5;3;3.5;3;3;;3;4.5;4;;5;5;5;4;4.0;3.875;;0.782623792;Ja;Goulden Brewery;5.90%;IPA
Alaryk. Biére d'Hiver;E2020;3;5.5;1.5;2.5;4;;4;1.5;4.5;;3;0.5;4;3.5;3.0;3.125;;1.46628783;Ja;Brasserie Artisanale;6%;Juleøl
